                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2020


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   78.5   90.3  14:44   68.2  03:38    0.0   13.5   0.01    3.4   11.9  17:15    104
 02   81.3   92.3  14:36   69.4  04:05    0.0   16.3   0.00    3.8   12.5  14:36    112
 03   84.2   94.3  15:14   73.6  05:59    0.0   19.2   0.00    4.8   12.5  13:15    129
 04   85.3   97.3  14:11   74.3  06:13    0.0   20.3   0.00    6.1   16.1  15:51    138
 05   87.1   96.6  14:18   77.9  06:00    0.0   22.1   0.00    4.9   17.1  01:00    124
 06   87.1  100.6  14:53   73.2  06:18    0.0   22.1   0.05    2.4   19.1  19:09     56
 07   85.2   97.3  15:49   72.3  06:22    0.0   20.2   0.00    3.7   14.0  17:07     42
 08   87.7  101.5  15:18   73.6  05:52    0.0   22.7   0.00    2.1   11.9  11:55    266
 09   88.4  101.5  13:48   74.3  00:00    0.0   23.4   0.01    8.5   22.2  21:58    196
 10   76.8   91.4  16:14   63.5  23:57    0.0   11.8  20.39    6.5   21.7  14:49    255
 11   77.6   94.3  15:54   56.1  06:02    0.0   12.6  20.26    2.1   10.9  16:20     13
 12   78.6   93.2  15:52   62.1  05:39    0.0   13.6   0.00    2.5   10.4  12:28     55
 13   80.8   96.1  16:12   62.8  05:20    0.0   15.8   0.00    2.8   11.4  12:21     87
 14   83.0   95.4  14:46   67.1  04:40    0.0   18.0   1.47    3.2   15.0  13:38     82
 15   85.8   97.3  16:03   74.5  06:03    0.0   20.8   0.00    3.8   12.5  12:06     91
 16   84.5   96.3  15:21   72.7  05:54    0.0   19.5   0.00    5.0   11.9  11:47     99
 17   84.6   95.7  15:13   73.4  06:30    0.0   19.6   0.00    6.1   16.6  13:40    104
 18   84.0   94.6  15:54   72.5  06:34    0.0   19.0   0.00    6.9   20.7  12:52    114
 19   82.7   94.8  13:47   67.1  23:01    0.0   17.7   0.84    7.4   26.3  21:43    114
 20   78.3   92.3  15:58   66.6  03:06    0.0   13.3   1.84    4.2   11.9  11:40    140
 21   79.1   89.1  17:17   70.5  12:12    0.0   14.1   0.04    5.2   15.5  09:32    112
 22   80.8   93.4  13:47   67.3  04:43    0.0   15.8   0.62    5.3   29.4  03:45     84
 23   76.5   82.4  16:04   70.3  08:32    0.0   11.5   0.24    4.0   12.5  20:00    328
 24   81.0   93.4  16:12   68.5  06:02    0.0   16.0   0.00    3.2   11.9  14:24    324
 25   81.3   91.4  16:58   71.2  06:08    0.0   16.3   0.00    3.9   13.0  20:46     34
 26   82.3   93.9  14:04   74.8  05:00    0.0   17.3   0.00    8.0   22.7  14:18    111
 27   84.3   94.6  16:32   75.9  04:00    0.0   19.3   0.50    8.3   20.7  12:51    115
 28   81.8   91.6  14:06   75.2  14:32    0.0   16.8   0.15    8.6   33.5  14:18    116
 29   84.8   94.6  17:19   77.5  04:58    0.0   19.8   0.01    9.6   22.7  14:04    131
 30   85.0   94.6  15:50   80.4  03:30    0.0   20.0   0.00    9.2   21.2  18:35    140
---------------------------------------------------------------------------------------
      82.6  101.5     08   56.1     11    0.0  528.7  46.43    5.2   33.5     28    114
    

